к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЭП20;;;
;;;
N;"Неисправность
(сообщение МПСУ)";Вероятная причина;Метод устранения
160;БВ не включен;БВ не включен. Ни один пантограф постоянного тока не поднят.;"Внимание! БВ не включен, по причине не поднятия токоприемника постоянного тока
- дождаться поднятия токоприемника переменного тока;
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
161;Пневмосистема;Ошибка датчиков давления тормозных цилиндров ДД2, ДД4, ДД5 (БИО).;Сигнализация неотпуска тормоза вышла из строя. Машинист, будь внимателен
162;Пневмосистема;Ошибка датчика давления питательной магистрали ДД2 (БИО).;Сигнализация давления в ПМ вышла из строя. Отсутствует возможность автоматического управления главными компрессорами. Машинист, перейди на ручное управление компрессорами при помощи кнопки ПОДКАЧКА
163;Пневмосистема;Ошибка датчика давления уравнительного резервуара.;Сигнализация давления в УР вышла из строя.
164;Пневмосистема;Ошибка датчика давления тормозной магистрали ДД1 (БИО);Сигнализация давления в ТМ вышла из строя. В связи с этим отсутствует возможность управления тягой.
165;СТК;Необходимо снизить скорость. Температура подшипника буксы N 1 - N 12 более 80 °C.;"При скорости электровоза более 80 км/ч
снизить её до 80 км/ч. При скорости ниже 80 км/ч снизить её на 30/км/ч. Контролировать по кадру ""Термоконтроль"" динамику снижения нагрева каждые 3 мин."
166;СТК;Температура БТР1 - БТР6 более 600 °C.;"Внимание!
Температура нагрева соответствующего блока тормозного резистора R11-R16 близка к предельно допустимой
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
167;СТК;Перегрев статорной обмотки ТД N 1 - ТД N 6 более 150 °C.;"Внимание!
Перегрев статорной обмотки ТД М1 - ТД М6 близок к предельно допустимому
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
168;СТК;Температура подшипникового узла ТД М1 - ТД М6 близка к предельной.;"Внимание!
Температура подшипникового узла тягового двигателя М1 - М6 близка к предельной
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
169;ГВ не включен;ГВ не включен. Ожидается готовность токоприемника к включению.;"Внимание!
ГВ не включен по причине ожидания готовности токоприемника к поднятию.
- поднять токоприемник
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
170;ГВ не включен;ГВ не включен. Ожидается разрешение на включение от системы управления тяговым приводом (MPU).;"Внимание! БУТП (MPU) блокирует включение ГВ.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
171;БВ не включен;БВ не включен. Ожидается готовность токоприемника к включению.;"Внимание!
БВ не включен по причине ожидания готовности токоприемника к поднятию
- поднять токоприемник;
- нажать клавишу ВОССТАНОВЛЕНИЕ
ЗАЩИТЫ"
172;БВ не включен;БВ не включен. Ожидается разрешение на включение от системы управления тяговым приводом (MPU).;"Внимание!
БУТП (MPU) блокирует включение БВ
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
173;ГВ заблокирован;Аварийное отключение ГВ. Сработал клапан сверхдавления блока дросселей.;Проверить давление по манометру. При нахождении в норме - продолжить движение.
174;БВ заблокирован;Аварийное отключение БВ. Сработал клапан сверхдавления блока дросселей.;Проверить давление по манометру. При нахождении в норме - продолжить движение.
175;ГВ заблокирован;Аварийное отключение ГВ. Сработало термореле масла тягового трансформатора.;Проверить температуру нагрева ТТр. По архиву данных убедиться, что оба маслонасоса исправны.
176;ГВ заблокирован;Аварийное отключение ГВ. Сработало термореле масла блока дросселей.;Проверить температуру нагрева блока дросселей. По архиву данных убедиться, что оба маслонасоса исправны.
177;БВ заблокирован;Аварийное отключение БВ. Сработало термореле масла тягового трансформатора.;Проверить температуру нагрева ТТр. По архиву данных убедиться, что оба маслонасоса исправны.
178;БВ заблокирован;Аварийное отключение БВ. Сработало термореле масла блока дросселей.;Проверить температуру нагрева блока дросселей. По архиву данных убедиться, что оба маслонасоса исправны.
179;ГВ заблокирован;Аварийное отключение ГВ. Токовая перегрузка в цепях отопления.;"Отключить выключатель S63 ""Отопление поезда"""
180;ГВ заблокирован;Аварийное отключение ГВ. Перенапряжение в цепях отопления.;"Отключить выключатель S63 ""Отопление поезда"""
181;БВ заблокирован;Аварийное отключение БВ. Токовая перегрузка в цепях отопления.;"Отключить выключатель S63 ""Отопление поезда"""
182;БВ заблокирован;Аварийное отключение БВ. Перенапряжение в цепях отопления.;"Отключить выключатель S63 ""Отопление поезда"""
183;БВ заблокирован;Аварийное отключение БВ. Род тока не постоянный.;Сообщить диспетчеру свои координаты, запросить информацию о напряжении на данном участке. Проверить по блоку индикации напряжение контактной сети. В случае соответствия повторно включить БВ
184;ГВ заблокирован;Аварийное отключение ГВ. Напряжение в сети вышло за допустимые пределы.;Проверить по блоку индикации напряжение контактной сети. В случае нахождения напряжения в норме - включить ГВ, продолжить движение.
185;БВ заблокирован;Аварийное отключение БВ. Напряжение в сети вышло за допустимые пределы.;Проверить по блоку индикации напряжение контактной сети. В случае нахождения напряжения в норме - включить БВ, продолжить движение.
186;ГВ и БВ;ГВ\БВ аварийно разомкнут.;"- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ.
- Попытаться повторно включить ГВ\БВ.
- В случае отсутствия разрешения на включение произвести перезагрузку СУЭ."
187;Токоприемник не поднят;"Токоприемник не поднят. SA51 в позиции ""Питание от депо"".";"Внимание!
Переключатель SA51 ""Питание от депо"" блокирует поднятие токоприемников
- включить автоматический выключатель SF124
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
188;Тяга не задана;Тяга не задана. Включен АСТ.;"Внимание!
Тяга не задана. Включен АСТ.
- отключить АСТ
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- задать тягу"
189;Тяга и электроторможение;Движение с включенным АСТ.;Внимание! Срабатывает стояночный тормоз.
190;Дисплей;Нет связи ДМ с БУЭ.;"Нет связи ДМ с БУЭ
- автоматическая активация резервирования главного кадра на БИ БЛОК
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
191;Дисплей;Нет связи ДМ с БУЭ по основному каналу CAN.;"Нет связи ДМ с БУЭ по основному каналу CAN
- автоматический переход на работу от резервного канала
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
192;Дисплей;Нет связи ДМ с БУЭ по резервному каналу CAN.;"Нет связи ДМ с БУЭ по резервному каналу CAN
- автоматический переход на работу от основного канала
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
193;Энергоснабжение вагонов;Внимание! Разъединитель Q2\Q3 не включен: включен QS4.;"Внимание!
Для включения разъединителя Q2\Q3 необходимо выполнение условий:
- Q4 и QS4 разземлены;
- КМ1 и КМ2 разомкнуты;
- S63 включен;
- кабина определена"
194;Энергоснабжение вагонов;Внимание! Разъединитель Q2\Q3 не включен: включен Q4.;"Внимание!
Для включения разъединителя Q2\Q3 необходимо выполнение условий:
- Q4 и QS4 разземлены;
- КМ1 и КМ2 разомкнуты;
- S63 включен;
- кабина определена."
195;Энергоснабжение вагонов;Q2 неисправен.;"Разъединитель Q2 неисправен
- Проверить SF118;
- Проверить состояние автоматического выключателя SF113;
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Продолжить движение с отключенными цепями отопления."
196;Энергоснабжение вагонов;Q3 неисправен.;"Разъединитель Q3 неисправен
- Проверить SF118;
- Проверить состояние автоматического выключателя SF113;
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Продолжить движение с отключенными цепями отопления."
197;Энергоснабжение вагонов;Отопление поезда не включено. S63 выключен.;"Внимание!
Для включения отопления S63 должен находиться в положении включено
- необходимо перевести переключатель в положении S63 в положение вкл.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
198;Энергоснабжение вагонов;Отопление поезда не включено. ГВ/БВ выключен.;"Внимание для включения отопления поезда ГВ\БВ должен находиться во включенном состоянии
- необходимо включить ГВ\БВ.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
199;Энергоснабжение вагонов;Отопление поезда не включено. Q4 включен.;"Внимание!
Для включения отопления поезда разъединитель Q4 должен находится в положении разомкнут
- необходимо перевести разъединитель Q4 в положение разземлено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
200;Энергоснабжение вагонов;Отопление поезда не включено. Q2 и Q3 выключены.;"Внимание!
Для включения разъединителя Q2/Q3 переключатель S63 должен находиться в положении включено
- необходимо перевести переключатель S63 в положение отключено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
201;Длительный отстой;При активации режима длительного отстоя требуется затормозить электровоз.;"Для активации длительного отстоя необходимо, чтобы были выполнены следующие условия:
- включен АСТ,
- кран машиниста переведен в позицию VI,
- кран вспомогательного тормоза переведен в позицию ""4""."
202;Задание направления движения;Необходимо остановить электровоз.;При переходе между главным (КМБ) и маневровым контроллером необходимо сбросить задания на тягу и скорость и остановить электровоз.
203;Токоприемник не поднят;Токоприемник не поднят. Нет разрешения от системы управления тяговым приводом.;Проверить наличие давления в цепях управления тяговыми преобразователями, для поднятия токоприёмника должно быть не менее 0,6 МПа.
204;Токоприемник не поднят;Токоприемник не поднят. Нет связи с системой управления тяговым приводом.;Проверить состояние автоматических выключателей, установленных на лицевой панели Шкафа N 3 и низковольтном шкафе ALSTOM в кузове электровоза. В случае отключения отдельных автоматических выключателей, необходимых для работы электровоза, перевести их во включённое состояние.
205;Токоприемники и разъединители;Особый режим. Поднятие второго токоприемника.;Автоматическое поднятие второго токоприемника постоянного тока на стоянке при включенном КМ2.
206;Тяга не задана;Внимание! Контактор КМ26 жидкостного насоса ЖН1 ТПр1 не включен.;"Срабатывание теплового реле КК26. Аварийное отключение контактора КМ26 включения ЖН1.
Возможно автоматическое отключение и блокирование канала N 1 ТПр1.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
207;Тяга не задана;"Внимание! Контактор КМ27 жидкостного
насоса ЖН2 ТПр1 не включен.";"Срабатывание теплового реле КК27. Аварийное отключение контактора КМ27 включения ЖН2
Возможно автоматическое отключение и блокирования канала N 2 ТПр1
Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
208;Тяга не задана;Внимание! Контактор КМ28 жидкостного насоса ЖН1 ТПр2 не включен.;"Срабатывание теплового реле КК28. Аварийное отключение контактора КМ28 включения ЖН1
Возможно автоматическое отключение и блокирование канала N 1 ТПр2
Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
209;Тяга не задана;Внимание! Контактор КМ29 жидкостного насоса ЖН2 ТПр2 не включен.;"Срабатывание теплового реле КК29. Аварийное отключение контактора КМ29 включения ЖН2
- Возможно автоматическое отключение и
блокирование канала N 2 ТПр2 по срабатывании тепловой защиты ТПр (ось не работает в режиме Тяга и Электрическое торможение);
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
210;Тяга не задана;Внимание! Контактор КМ30 жидкостного насоса ЖН1 ТПр3 не включен.;"Срабатывание теплового реле КК30. Аварийное отключение контактора КМ30 включения ЖН1
Возможно автоматическое отключение и блокирование канала N 1 ТПр3
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
211;Тяга не задана;Внимание! Контактор КМ31 жидкостного насоса ЖН2 ТПр3 не включен.;"Срабатывание теплового реле КК31. Аварийное отключение контактора КМ31 включение ЖН2
Возможно автоматическое отключение и блокирование канала N 2 ТПр3
Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
212;Тяга не задана;Внимание! Контактор КМ32 масляного насоса МН1 не включен.;"Срабатывание теплового реле КК32. Аварийное отключение контактора КМ32 включение МНТр1
Автоматическое снижение мощности электровоза на 30 %
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
213;Тяга не задана;"Внимание! Контактор КМ33
масляного насоса МН2 не включен.";"Срабатывание теплового реле КК33. Аварийное отключение контактора КМ33 включение МНТр2
Автоматическое снижение мощности электровоза на 30 %
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
214;ИПЦУ U5;Нет заряда АБ.;"Внимание!
Необходимо убедиться, что ИПЦУ находится во включенном и работоспособном состоянии:
- проверить положение органов управления ИПЦУ;
- проверить наличие или отсутствие заряда АБ по амперметру на лицевой панели ИПЦУ;
- проверить по кадру ""ИПЦУ"" состояние основных модулей ИПЦУ.
В случае неисправности ИПЦУ при работе от АБ дальнейшее движение электровоза возможно до достижения напряжения в цепях управления значения 82 В."
215;ИПЦУ U5;Работа от АБ.;"Необходимо убедиться, что ИПЦУ находится во включенном и работоспособном состоянии:
Летом: продолжить движение до ближайшей станции. Контролировать напряжение АБ. При уменьшении до 82 В или зимой остановиться, выключить систему управления и вызвать вспомогательный локомотив"
216;ИПЦУ U5;Неисправность ИПЦУ.;Продолжить движение.
;Энергоснабжение вагонов;Отопление вагонов заблокировано.;"Обнаружено двукратное срабатывание защиты в цепях отопления вагонов. Контакторы КМ1 и КМ2 заблокированы. Необходимо отключить выключатель S63 ""Отопление поезда""."
217;Диагностика КТО;"Тяга не задана. Положение кранов не соответствуют режиму движения составом/резервом. Перейдите на кадр ""Положение кранов"".";"Для более подробной информации о положении кранов перейдите на диагностический кадр ""Положение кранов"", либо необходимо визуально проверить положение кранов на соответствие режиму движения составом/резервом"
218;Диагностика КТО;"Внимание! Тормозная схема собрана для режима ""Движение горячим резервом"", подтвердите правильность включения режима.";"Для сбора режима движения горячим резервом на кадре ""Положение кранов"" необходимо нажать на кнопку ""Горяч. Резерв"", при нажатии на которую МПСУ проверит правильность собранной схемы и в случае её правильности разблокирует сбор тяги."
219;Диагностика КТО;Внимание! Положение кранов не соответствует выбранному режиму движения поезда.;"Для правильного сбора схемы ориентируйтесь на цветовую индикацию положения кранов, и кнопки ""Гор. Рез."": зеленый цвет означает соответствие положения крана, красный - несоответствие."
220;Диагностика КТО;Внимание! АСТ не выключен из работы.;Закрыть кран КрРШ9(БТО), постановкой ручки крана КрРШ10(БТО) в среднее положение выпустить воздух из запасного резервуара, контроль давления по МН1.
221;Диагностика КТО;Проверь разблокирование тормозных цилиндров и отпуск тормоза.;Для разблокирования необходимо сдернуть чеки до характерного щелчка с каждого тормозного цилиндра оснащенного стояночным тормозом. При полном отпуске пневматического тормоза клещи должны быть отпущены.
222;Диагностика КТО;Внимание! ЭПК не выключен из работы.;Выключить КрРШ БИ2, установкой ручки крана в горизонтальное положение.
223;ГВ не включен;"ГВ не включен. Тумблер SA51 ""От Депо"" в положении ""Вкл."".";"Проверить положение тумблера SA51 на фронтальной панели шкафа N 3. При необходимости перевести тумблер в положение ""Выкл."""
224;БВ не включен;"БВ не включен. Тумблер SA51 ""От Депо"" в положении ""Вкл."".";"Проверить положение тумблера SA51 на фронтальной панели шкафа N 3. При необходимости перевести тумблер в положение ""Выкл."""
225;ГВ заблокирован;"ГВ аварийно отключен. Было несанкционированное включение тумблера SA51
""От Депо"".";"Проверить положение тумблера SA51 на фронтальной панели шкафа N 3. При необходимости перевести тумблер в положение ""Выкл."". Квитировать данное сообщение нажатием на клавишу
""ВОССТАНОВЛЕНИЕ ЗАЩИТ"" на БСК1. После получения авторизации (индикатор ГВ/БВ закрашен синим) произвести включение ГВ."
226;БВ заблокирован;"БВ аварийно отключен. Было несанкционированное включение тумблера SA51 ""От Депо"".";"Проверить положение тумблера SA51 на фронтальной панели шкафа N 3. При необходимости перевести тумблер в положение ""Выкл."". Квитировать данное сообщение нажатием на клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТ"" на БСК1. После получения авторизации (индикатор ГВ/БВ закрашен синим) произвести включение БВ."
227;Диагностика КТО;Внимание! Положение разобщительных кранов не соответствуют режиму движения без АСТ.;"Для правильного сбора схемы ориентируйтесь на цветовую индикацию положения кранов: зеленый цвет означает соответствие положений кранов, красный - несоответствие. Положения кранов КНБ1(А9) и КНБ1(А10) при проверке сбора схемы не учитываются. Допускается применение режима ""Игн. АСТ"" совместно с режимами ""Выкл. ЭПК"", ""Горяч. Режим"", ""Нештат. Режим""."
228;Диагностика КТО;Внимание! Положение разобщительных кранов не соответствуют режиму движения без ЭПК.;"Для правильного сбора схемы ориентируйтесь на цветовую индикацию положения кранов: зеленый цвет означает соответствие положений кранов, красный - несоответствие. Положения кранов КНБ1(А9) и КНБ1(А10) при проверке сбора схемы не учитываются. Допускается применение режима ""Без ЭПК"" совместно с режимом ""Игн. АСТ"", ""Горяч. Режим"", ""Нештат. Режим""."
229;СТК;Внимание! Блоки БТК системы термоконтроля выключены.;Проверить положение автомата SF129 на фронтальной панели шкафа N 3. Автомат должен быть включен.
230;ГВ и БВ;ГВ\БВ не включен. Закрыт КрРШ2 (БПО).;Проверить работу сигнализатора крана КрРШ2 (БПО).
231;ГВ и БВ;ГВ\БВ не включен. Низкое давление в цепях управления.;"Проверить: показания датчики ДД (БПО) - должно быть больше 0,6 МПа, положение крана КрРШ2 (БПО), тумблер ""компрессор токоприемника"", АЗВ ""вспомогательный компрессор""."
232;Диагностика КТО;Внимание! Положение кранов не соответствует режиму движения составом/резервом.;"Для более подробной информации о положении кранов перейдите на диагностический кадр ""Положение кранов"", либо необходимо визуально проверить положение кранов на соответствие режиму движения составом/резервом. Для активации одной из аварийных схем движения необходимо остановить электровоз, перевести краны в соответствующее режиму положение, подтвердить выбор нажатием соответствующей кнопки на экране ""Положение кранов"", квитировать все диагностические сообщения, связанные с разобщительными кранами."
233;Диагностика КТО;"Внимание! После останова электровоза будет запрет на тягу до активации нештатного режима на кадре ""Положение кранов"".";После останова электровоза переведите все разобщительные краны в поездное положение, либо активируйте необходимые аварийные схемы сбора разобщительных кранов.
234;Безопасность;Внимание! АЗВ SF59 СИСТЕМА БЛОКИРОВАНИЯ находится в выключенном положении.;"Проверить положение АЗВ SF59 СИСТЕМА БЛОКИРОВАНИЯ
- При отключенном положении, перевести АЗВ SF59 СИСТЕМА БЛОКИРОВАНИЯ во включенное положение
- При автоматическом отключении АЗВ SF59 по причине наличия КЗ оставить последний в выключенном положении, активировать нештатный режим работы электровоза без KV30.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
235;Безопасность;Внимание! АЗВ SF69 ЭПТ находится в выключенном положении.;"Проверить положение АЗВ SF69 ЭПТ
- При отключенном положении, перевести АЗВ SF69 ЭПТ во включенное положение.
- При автоматическом отключении АЗВ SF69 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
236;Безопасность;Внимание! БАРС не включен, АЗВ SF73 ЦЕПИ ЗАЩИТЫ ОТ ЮЗА находится в выключенном положении.;"- Проверить положение АЗВ SF73 ЦЕПИ ЗАЩИТЫ ОТ ЮЗА
- При отключенном положении, перевести SF73 ЦЕПИ ЗАЩИТЫ ОТ ЮЗА во включенное положение
- При автоматическом отключении АЗВ SF73 по причине наличия КЗ оставить последний в выключенном положении и продолжить работу с отключенным БАРС.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
237;Безопасность;Внимание! БУГС отключен, АЗВ SF72 ГРЕБНЕСМАЗКА находится в выключенном положении.;"- Проверить положение АЗВ SF72 ГРЕБНЕСМАЗКА.
- При отключенном положении, перевести
SF72 ГРЕБНЕСМАЗКА во включенное положение.
- При автоматическом отключении АЗВ SF72 по причине наличия КЗ оставить последний в выключенном положении и продолжить работу с отключенным БУГС.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
238;Безопасность;Разъединитель Q11 не может быть включен: один из крышевых разъединителей QS1, QS2 замкнут.;Система управления не смогла разъединить крышевые разъединители. Воспользуйтесь маневровым локомотивом.
239;Безопасность;Переключатель Q11 не может быть замкнут в движении;Для включения Q11 необходимо остановить локомотив, отключить БВ/ГВ, опустить токоприемники, убедиться в том, что блокировки шкафов с высоковольтным оборудованием и люка лаза на крышу замкнуты.
240;Безопасность;Переключатель Q11 не может быть замкнут: не закрыты шкафы с высоковольтным оборудованием.;Для включения Q11 необходимо остановить локомотив, отключить БВ/ГВ, опустить токоприемники, убедиться в том, что блокировки шкафов с высоковольтным оборудованием и люка лаза на крышу замкнуты.
241;Безопасность;Крышевой разъединитель QS1 не может быть замкнут/разомкнут: поднят токоприемник.;Перед замыканием/размыканием крышевых разъединителей должны выполняться условия: все токоприемники должны быть опущены, ГВ/БВ должен быть разомкнут.
242;Безопасность;Крышевой разъединитель QS2 не может быть замкнут/разомкнут: поднят токоприемник.;Перед замыканием/размыканием крышевых разъединителей должны выполняться условия: все токоприемники должны быть опущены, ГВ/БВ должен быть разомкнут.
243;Безопасность;Крышевой разъединитель QS1 не может быть замкнут/разомкнут: замкнут ГВ/БВ.;Перед замыканием/размыканием крышевых разъединителей должны выполняться условия: все токоприемники должны быть опущены, ГВ/БВ должен быть разомкнут.
244;Безопасность;"Крышевой разъединитель.
QS2 не может быть замкнут/разомкнут: замкнут ГВ/БВ.";"Перед замыканием/размыканием крышевых разъединителей должны выполняться условия:
все токоприемники должны быть опущены, ГВ/БВ должен быть разомкнут."
245;Пневмосистема;Внимание! Низкое давление в питательных резервуарах.;Проверьте положение кранов КрРШ1, КрРШ2, КрРШ3, КрРШ5 на плите БИО, краны должны быть открыты.
246;СТК;Внимание! Отсутствие связи с одним из блоков БТК7 А191-А196, реостатное торможение не доступно.;Продолжайте движение в штатном режиме.
247;СТК;Внимание! Отсутствие связи с одним из блоков БТК5 А31- А36, автоматическое ограничение тягового усилия на уровне 70%.;Продолжайте движение в штатном режиме.
248;Безопасность;Включение КМ7 невозможно. Заблокируйте двери!;Проверьте блокировки всех высоковольтных шкафов, ИПЦУ, а также люка лаза на крышу.
249;Безопасность;Включение КМ8 невозможно. Заблокируйте двери!;Проверьте блокировки всех высоковольтных шкафов, ИПЦУ, а также люка лаза на крышу.
250;Безопасность;Внимание! Вспомогательный компрессор отключен, АЗВ SF65 ВСПОМОГАТЕЛЬНЫЙ КОМПРЕССОР находится в выключенном положении.;"- Проверить положение АЗВ SF65 ВСПОМОГАТЕЛЬНЫЙ КОМПРЕССОР
- При отключенном положении, перевести SF65 ВСПОМОГАТЕЛЬНЫЙ КОМПРЕССОР во включенное положение
- При автоматическом отключении АЗВ SF65 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
251;Безопасность;Внимание! Отключены цепи управления низковольтным оборудованием ATSA, АЗВ SF64 АППАРАТУРА A1 находится в выключенном положении.;"- Проверить положение АЗВ SF64 АППАРАТУРА A1
- При отключенном положении, перевести SF64 АППАРАТУРА 1 во включенное положение
- При автоматическом отключении АЗВ SF64 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
252;Безопасность;Внимание! Отключены цепи управления высоковольтным оборудованием ATSA, АЗВ SF132 АППАРАТУРА A2 находится в выключенном положении.;"- Проверить положение АЗВ SF132 АППАРАТУРА A2
- При отключенном положении, перевести SF132 АППАРАТУРА A2 во включенное положение
- При автоматическом отключении АЗВ SF132 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
253;Безопасность;Внимание! Отключена релейно-контакторная аппаратура шкафа N 1, АЗВ SF111 АППАРАТУРА 1 находится в выключенном положении;"- Проверить положение АЗВ SF111 АППАРАТУРА 1
- При отключенном положении, перевести SF111 АППАРАТУРА 1 во включенное положение
- При автоматическом отключении АЗВ SF111 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
254;Безопасность;Внимание! Отключена релейно-контакторная аппаратура шкафа N 2, АЗВ SF112 АППАРАТУРА 2 находится в выключенном положении.;"- Проверить положение АЗВ SF112 АППАРАТУРА 2
- При отключенном положении, перевести SF112 АППАРАТУРА 2 во включенное положение
- При автоматическом отключении АЗВ SF112 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
255;Безопасность;Внимание! Отключена релейно-контакторная аппаратура шкафа N 3, АЗВ SF113 АППАРАТУРА 3 находится в выключенном положении.;"- Проверить положение АЗВ SF113 АППАРАТУРА 3
- При отключенном положении, перевести SF113 АППАРАТУРА 3 во включенное положение
- При автоматическом отключении АЗВ SF113 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
256;Безопасность;Внимание! Отключен контроллер тормозного оборудования, АЗВ SF60 УКТОЛ находится в выключенном положении.;"- Проверить положение АЗВ SF60 УКТОЛ
- При отключенном положении, перевести SF60 УКТОЛ во включенное положение
- При автоматическом отключении АЗВ SF60 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
257;Безопасность;Внимание! Отключен БЛОК, АЗВ SF55 БЛОК находится в выключенном положении.;"- Проверить положение АЗВ SF55 БЛОК
- При отключенном положении, перевести SF55 БЛОК во включенное положение
- При автоматическом отключении АЗВ SF55 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
258;Безопасность;Внимание! Отключены счетчики электроэнергии, АЗВ SF133 СЧЕТЧИК находится в выключенном положении.;"- Проверить положение АЗВ SF133 СЧЕТЧИК
- При отключенном положении, перевести SF133 СЧЕТЧИКИ во включенное положение
- При автоматическом отключении АЗВ SF133 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
259;Безопасность;Внимание! Отключена система пожаротушения, АЗВ SF78 ПОЖАРОТУШЕНИЕ находится в выключенном положении;"- Проверить положение АЗВ SF78 ПОЖАРОТУШЕНИЕ
- При отключенном положении, перевести SF78 ПОЖАРОТУШЕНИЕ во включенное положение
- При автоматическом отключении АЗВ SF78 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
260;Безопасность;Внимание! Отключена радиосвязь, АЗВ SF54 РАДИОСВЯЗЬ находится в выключенном положении.;"- Проверить положение АЗВ SF54 РАДИОСВЯЗЬ
- При отключенном положении, перевести SF54 РАДИОСВЯЗЬ во включенное положение
- При автоматическом отключении АЗВ SF54 по причине наличия КЗ оставить последний в выключенном положении.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ."
261;Безопасность;Разъединитель Q11 не может быть разомкнут: локомотив в движении.;Остановите электровоз.
