к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ25КМ;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
"При задании режима ""Тяги""/""ЭДТ"" в УОИ сигнал о всех выключенных ОМ";;;
110;"Предупреждение!
(Отключены все ТЭД)";Все ОМ выключены;"Отключены ОМ1...ОМ6. Желательно перевести секцию на ""Холостой ход""."
;;Неисправность ОМ;
;;Обрыв/неисправность проводов к ОМ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Неисправность датчиков температуры воды или масла;;;
111;"Запрет режима тяги/ЭДТ
(Неисправны датчики САРТ)";Неисправны датчики;Нет данных от датчиков температуры воды и масла. Запрещен режим тяги и ЭДТ. Автоматическое управление САРТ не работает. Примите меры для охлаждения дизеля.
;;Неисправен ТИ и плата БОАД;
Неисправность датчиков температуры воды или масла и автоматическом управлении САРТ;;;
112;"Запрет набора позиции
(Запрет набора позиции, неисправен САРТ)";Неисправность датчиков воды или масла;Нет данных от датчиков температуры воды или масла. Запрещен набор позиции при автоматическом управлении САРТ. Примите меры для охлаждения дизеля.
Неисправность датчиков температуры воды или масла и ручном управлении САРТ;;;
113;"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 5.
(Ограничение набора позиции, неисправен САРТ)";Неисправность датчиков воды или масла;Нет данных от датчиков температуры воды или масла. Набор позиции ограничен при ручном управлении САРТ. Примите меры для охлаждения дизеля.
При отключении устройством обработки информации (УОИ) контактора КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 сигнал обратной связи о его отключение в УОИ не приходит;;;
114;"Предупреждение!
(КМ2 не отключился)";Несправен контактор;Проверить наличие возбуждения тягового генератора. При необходимости снять возбуждение с тягового генератора, выключить автомат SF10.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ3 не отключился)";Несправен контактор;Обратить внимание.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ4 не отключился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) работает постоянно. Для выключения вентилятора отключите автомат QF1.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ5 не отключился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) работает постоянно. Для выключения вентилятора отключите автомат QF2.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ6 не отключился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) работает постоянно. Для выключения вентилятора отключите автомат QF3.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ7 не отключился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ7, мотор-вентилятор холодильника (3МВ) работает постоянно. Для выключения вентилятора отключите автомат QF4.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК не отключился)";Несправен контактор;"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля
(КМН не отключился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КРН не отключился)";Несправен контактор;"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Отключить лишние потребители!"
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КТН не отключился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК. Нет последующего включения компрессора
(КУДК не отключился)";Несправен контактор;"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(ТК не отключился)";Несправен контактор;Проверить контактор и его блок-контакты.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля
(Д1 не отключился)
(Д2 не отключился)";Несправен контактор;Проверить контактор и его блок-контакты.
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;;Наличие напряжения +110В на катушке контактора;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключении устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ;;;
115;"Предупреждение!
(Боковые жалюзи слева не закрыты)
(Боковые жалюзи справа(3МВ) не закрыты)
(Боковые жалюзи справа(4МВ) не закрыты)";Неисправен вентиль;Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты.
;;Наличие напряжения +110В на катушке вентиля;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность датчика открытия жалюзи;
;;Наличие +110В в проводе от датчика к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его отключении в УОИ не приходит;;;
116;"Предупреждение!
(КШ1 не отключился)
(КШ2 не отключился)";Несправен переключатель;Обратить внимание. Проверить переключатель и его блок-контакты.
;;Наличие напряжения +110В на переключателе;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключении устройством обработки информации (УОИ) переключателя П1...П6 сигнал обратной связи о его отключении в УОИ не приходит;;;
117;"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не отключился)";Несправен переключатель;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
;;Наличие напряжения +110В на переключателе;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его отключении в УОИ не приходит;;;
118;"Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не отключился)
(Реверсор (Р) (назад) не отключился)";Несправен переключатель;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Наличие напряжения +110В на переключателе;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет сборки схемы тяги/тормоза
(ТП (тормоз) не отключился)
(ТП (тяга) не отключился)";Несправен переключатель;
;;Наличие напряжения +110В на переключателе;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ;
При отключенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его включении;;;
119;"Предупреждение!
(КМ2 самопроизвольно включился)";Несправен контактор или его блок-контакт;Обратить внимание. Проверить наличие возбуждения тягового генератора. При необходимости снять возбуждение с тягового генератора, выключить автомат SF10.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ3 самопроизвольно включился)";Несправен контактор или его блок-контакт;Обратить внимание.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ4 самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) работает постоянно. Для выключения вентилятора отключите автомат QF1.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ5 самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) работает постоянно. Для выключения вентилятора отключите автомат QF2.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ6 самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) работает постоянно. Для выключения вентилятора отключите автомат QF3.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ7 самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При включенном контакторе КМ7, мотор-вентилятор холодильника (3МВ) работает постоянно. Для выключения вентилятора отключите автомат QF4.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК самопроизвольно включился)";Несправен контактор или его блок-контакт;"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля
(КМН самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет запуска дизеля.
(КРН самопроизвольно включился)";Несправен контактор или его блок-контакт;"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КТН самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК. Нет последующего включения компрессора
(КУДК самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты.Внимание! Компрессор на данной секции не работает.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет сборки схемы тяги
(ТК самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля.
(Д1 самопроизвольно включился)
(Д2 самопроизвольно включился)";Несправен контактор или его блок-контакт;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключенном устройством обработки информации (УОИ) вентиля жалюзи лев. приходит сигнал от датчика открытия жалюзи в УОИ;;;
120;"Предупреждение!
(Боковые жалюзи слева самопроизвольно открылись)
(Боковые жалюзи справа(3МВ) самопроизвольно открылись)
(Боковые жалюзи справа(4МВ) самопроизвольно открылись)";Неисправен вентиль или датчик открытия жалюзи;Проверить датчик открытия жалюзи. Обратите внимание, жалюзи могут быть открыты.
;;Наличие +110В от вентиля к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Наличие +110В от вентиля к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его включении;;;
121;"Предупреждение!
(КШ1 самопроизвольно включился)
(КШ2 самопроизвольно включился)";Несправен переключатель или его блок-контакт;Обратить внимание. Проверить переключатель и его блок-контакты.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправен пневматический привод переключателя;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его включении;;;
122;"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно включился)";Несправен переключатель или его блок-контакт;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ2.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправен пневматический привод переключателя;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При отключенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его включении;;;
123;"Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно включился)
(Реверсор (Р) (назад) самопроизвольно включился)";Несправен переключатель или его блок-контакт;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправен пневматический привод переключателя;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет сборки схемы тяги/тормоза
(ТП (тормоз) самопроизвольно включился)
(ТП (тяга) самопроизвольно включился)";Несправен переключатель или его блок-контакт;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправен пневматический привод переключателя;
;;Наличие +110В от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
"При положении ""Нейтраль"" реверсора в УОИ не поступали сигналы от кнопок ""Вперед"" или ""Назад""";;;
124;"Запрет сбора тяги
(Задайте направление движения)";Направление движения не выбрано;"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад""."
;;Нет +110В в УОИ;
;;Неисправна кнопка;
;;Неисправны провода;
;;Неисправность платы БОДД (ПВДД) УОИ;
Разница между током мотор-вентилятора обдува тормозных резисторов и допустимым (вычисленным при помощи тока через тормозной резистор) превысила 20 А;;;
125;"Сброс нагрузки из режимов ""ЭДТ"" или ""Тяги"" при нагружении на тормозные резисторы
(Защита резисторов ЭДТ)";Мотор-вентилятор неисправен;Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ.
;;Неисправен датчик тока мотор-вентилятора;
;;Неисправен датчик тока через тормозной резистор;
;;Неисправна плата ПВАД или БОАД УОИ;
Разность показаний датчиков воды УОИ и ТИ более 7°С.;;;
126;"Предупреждение!
(Проверьте датчики темп. Воды)";Неисправность датчиков воды;Обратить внимание. Внести замечания в журнал ТУ-152.
Разность показаний датчиков масла УОИ и ТИ более 7°С.;;;
127;"Предупреждение!
(Проверьте датчики темп. масла)";Неисправность датчиков масла;Обратить внимание. Внести замечания в журнал ТУ-152.
Расчетная скорость ТЭД больше 140 км/ч;;;
128;"Разбор тяги
(Срыв шестерни ТЭД)";Неисправен датчик тока ТЭД;Отключить соответствующий ОМ.
;;Срыв шестерни колесной пары;
"Скорость в режиме ""Тяга"" превысила 105 км/ч";;;
129;"Сброс нагрузки
(Превышение конструкционной скорости)";Реальное превышение скорости;Если ложное, то проверить ДЧВ (кадр 3). Отключить ОМ с неисправным ДЧВ.
;;Неисправность датчиков частоты вращения ТЭД;
"Скорость локомотива менее 15 км/ч или авария в схеме локомотива в режиме ""ЭДТ""";;;
130;"Переход из ""ЭДТ"" в ""Замещение""
(ЭДТ не эффективен (замещение на пневмотормоз))";"Скорость локомотива менее 15 км/ч или авария в схеме локомотива в режиме ""ЭДТ""";"Скорость менее 15 км/ч или авария в схеме локомотива в режиме ""ЭДТ""."
Температура обмоток составляет 170°С;;;
131;"Предупреждение!
(Высокая температура обмоток тягового генератора)";Недостаточное охлаждение тягового генератора;Проверить состояние канала охлаждения тягового генератора. По возможности перейти на холостой ход и выполнить охлаждение генератора. Разрешается продолжить движение контролируя состояние генератора.
Температура обмоток составляет 180°С;;;
132;"Запрет режима тяги/ЭДТ
(Перегрев обмоток тягового генератора)";Недостаточное охлаждение тягового генератора;Проверить состояние канала охлаждения тягового генератора. Перейти на холостой ход и выполнить охлаждение генератора.
Температура, измеренная температурным измерителем превышает 150°С (Каналы обмоток генераторов 180°С);;;
133;"Предупреждение!
(Температурный измеритель зашкаливает)";Неисправность температурного измерителя;Перезагрузи МПСУ. Проверь работу САРТ дизеля (кадр 4).
;;Неисправность датчиков температуры (ТСМ) или проводов к ним.;
Ток мотор-компрессора больше 470А;;;
134;"Предупреждение! Блокировка пуска компрессора
(Ток мотор-компрессора > max! Компрессор выключен)";Низкая температура масла компрессора;Осмотреть приводной электродвигатель мотор-компрессора. Выкл./вкл. АМК.
;;Неисправность мотора компрессора;
Ток ТЭД больше максимально-допустимого;;;
135;"Разбор тяги/тормоза
(Защита по max току # ТЭД (# - номер ТЭД))";Неисправен ТЭД;Отключить соответствующий ОМ.
УОИ не видит ответа от системы управления подачей топлива;;;
136;"Предупреждение!
(Нет связи с регулятором дизеля)";Нет питания;Остановить дизель, перезагрузить МПСУ. Запуск дизеля возможен, режим тяги возможен только при наличии связи.
;;Неисправен блок питания/управления;
;;Неисправен кабель связи;
;;Неисправна плата БК УОИ;
;;Сбои ПО блока или УОИ;
УОИ не принимает данные от ТИ в течении 2 с;;;
137;"Предупреждение!
(Нет связи с температурным измерителем)";Неисправность кабеля связи УОИ и ТИ;Перезагрузи МПСУ. Проверь работу САРТ дизеля (кадр 4).
;;Неисправность температурного измерителя ТИ;
;;Неисправность блока каналов связи (БКС) УОИ;
;;Неисправность блока компьютера (БК) УОИ;
;;;
